
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z
   18        4   0.410
    0        2   0.210
   12        2   0.210

truth(0) universally(12) acknowledged(0) single(18) possession(18) fortune(18) want(12) wife(18) 

DOC 1
TOPIC    COUNT    PROB
----------------------
   18        3   0.238
    0        2   0.162
    4        2   0.162
   17        2   0.162
    5        1   0.085
   19        1   0.085

known(5) views(19) entering(0) neighbourhood(17) truth(0) fixed(17) minds(4) families(18) considered(4) property(18) daughters(18) 

DOC 2
TOPIC    COUNT    PROB
----------------------
    8        1   0.275
   11        1   0.275

netherfield(8) park(11) 

DOC 3
TOPIC    COUNT    PROB
----------------------



DOC 4
TOPIC    COUNT    PROB
----------------------
   11        2   0.350
   14        2   0.350

returned(11) just(14) here(11) told(14) 

DOC 5
TOPIC    COUNT    PROB
----------------------
    8        1   0.367

answer(8) 

DOC 6
TOPIC    COUNT    PROB
----------------------
    1        3   0.517
    2        1   0.183

want(1) taken(1) wife(2) impatiently(1) 

DOC 7
TOPIC    COUNT    PROB
----------------------
   12        3   0.517
    1        1   0.183

want(12) tell(1) objection(12) hearing(12) 

DOC 8
TOPIC    COUNT    PROB
----------------------
    8        1   0.367

invitation(8) 

DOC 9
TOPIC    COUNT    PROB
----------------------
    8        7   0.309
   18        7   0.309
    1        5   0.222
    9        2   0.091

why(1) netherfield(8) taken(1) large(18) fortune(18) north(18) england(18) down(1) monday(8) chaise(9) four(18) place(1) delighted(8) agreed(8) immediately(8) take(1) possession(18) servants(8) end(18) next(8) week(9) 

DOC 10
TOPIC    COUNT    PROB
----------------------
   16        1   0.367

name(16) 

DOC 11
TOPIC    COUNT    PROB
----------------------



DOC 12
TOPIC    COUNT    PROB
----------------------
   18        2   0.525

married(18) single(18) 

DOC 13
TOPIC    COUNT    PROB
----------------------
   18        8   0.623
    8        3   0.238

single(18) single(8) large(18) fortune(18) four(18) five(18) thousand(18) year(18) fine(18) thing(8) girls(8) 

DOC 14
TOPIC    COUNT    PROB
----------------------
   14        1   0.367

affect(14) 

DOC 15
TOPIC    COUNT    PROB
----------------------
   18        3   0.620

wife(18) thinking(18) marrying(18) 

DOC 16
TOPIC    COUNT    PROB
----------------------
   12        2   0.420
   11        1   0.220

design(12) settling(12) here(11) 

DOC 17
TOPIC    COUNT    PROB
----------------------
   12        3   0.310
   19        3   0.310
   17        1   0.110
   18        1   0.110

design(12) nonsense(12) talk(12) likely(19) fall(19) therefore(19) visit(17) comes(18) 

DOC 18
TOPIC    COUNT    PROB
----------------------
   13        4   0.342
    1        2   0.175
    8        2   0.175
   14        1   0.092
   18        1   0.092

occasion(18) girls(13) send(1) themselves(8) perhaps(13) still(14) handsome(13) like(13) best(1) party(8) 

DOC 19
TOPIC    COUNT    PROB
----------------------
    0        5   0.319
   13        5   0.319
   18        3   0.194
   17        1   0.069

flatter(0) certainly(13) share(0) beauty(13) pretend(0) anything(17) extraordinary(0) woman(13) five(18) grown(13) daughters(18) ought(0) thinking(18) beauty(13) 

DOC 20
TOPIC    COUNT    PROB
----------------------
   13        2   0.420
    7        1   0.220

cases(7) woman(13) beauty(13) 

DOC 21
TOPIC    COUNT    PROB
----------------------
    1        1   0.275
   17        1   0.275

comes(1) neighbourhood(17) 

DOC 22
TOPIC    COUNT    PROB
----------------------
    6        1   0.275
   13        1   0.275

engage(6) assure(13) 

DOC 23
TOPIC    COUNT    PROB
----------------------
    2        5   0.340
   15        3   0.207
    8        2   0.140
   12        2   0.140
   17        1   0.073

consider(15) daughters(2) establishment(2) sir(2) william(2) lucas(2) determined(15) merely(12) account(17) general(12) visit(8) impossible(15) visit(8) 

DOC 24
TOPIC    COUNT    PROB
----------------------
   13        5   0.340
    1        3   0.207
   10        2   0.140
   19        2   0.140
   14        1   0.073

surely(13) dare(13) glad(1) send(1) few(10) lines(14) assure(13) consent(13) marrying(19) chooses(1) girls(13) throw(19) word(10) 

DOC 25
TOPIC    COUNT    PROB
----------------------
    3        4   0.315
   16        4   0.315
    1        1   0.085
    6        1   0.085
    7        1   0.085

