
Full Report
epoch=1900
numDocs=2478
numTokens=6091
numWords=870
numTopics=15

TOPIC 0  (total count=391)
SYMBOL             WORD    COUNT   PROB          Z
another(7) considering(7) 

DOC 23
TOPIC    COUNT    PROB
----------------------
   14        1   0.440

world(14) 

DOC 24
TOPIC    COUNT    PROB
----------------------
    7        1   0.440

hole(7) 

DOC 25
TOPIC    COUNT    PROB
----------------------
   12        2   0.600

suddenly(12) suddenly(12) 

DOC 26
TOPIC    COUNT    PROB
----------------------
   10        1   0.440

deep(10) 

DOC 27
TOPIC    COUNT    PROB
----------------------



DOC 28
TOPIC    COUNT    PROB
----------------------
   10        3   0.564
   11        1   0.200

either(10) deep(10) fell(10) slowly(11) 

DOC 29
TOPIC    COUNT    PROB
----------------------
    0        1   0.440

wonder(0) 

DOC 30
TOPIC    COUNT    PROB
----------------------
    6        1   0.314
   10        1   0.314

happen(6) tried(10) 

DOC 31
TOPIC    COUNT    PROB
----------------------
    7        2   0.467
   13        1   0.244

coming(7) dark(13) anything(7) 

DOC 32
TOPIC    COUNT    PROB
----------------------
   10        3   0.689

sides(10) noticed(10) filled(10) 

DOC 33
TOPIC    COUNT    PROB
----------------------
    9        2   0.467
    6        1   0.244

book(9) saw(6) pictures(9) 

DOC 34
TOPIC    COUNT    PROB
----------------------
    7        1   0.440

took(7) 

DOC 35
TOPIC    COUNT    PROB
----------------------
   13        1   0.440

passed(13) 

DOC 36
TOPIC    COUNT    PROB
----------------------
    6        1   0.440

fear(6) 

DOC 37
TOPIC    COUNT    PROB
----------------------
    7        2   0.600

somebody(7) managed(7) 

DOC 38
TOPIC    COUNT    PROB
----------------------
   10        1   0.314
   12        1   0.314

fell(10) past(12) 

DOC 39
TOPIC    COUNT    PROB
----------------------
   13        1   0.440

fall(13) 

DOC 40
TOPIC    COUNT    PROB
----------------------
    0        1   0.440

stairs(0) 

DOC 41
TOPIC    COUNT    PROB
----------------------
    7        2   0.323
    3        1   0.169
    6        1   0.169
   10        1   0.169

home(7) wouldn(6) anything(7) fell(10) top(3) 

DOC 42
TOPIC    COUNT    PROB
----------------------
    7        1   0.244
    8        1   0.244
   14        1   0.244

house(8) likely(14) true(7) 

DOC 43
TOPIC    COUNT    PROB
----------------------
   13        2   0.467
    2        1   0.244

fall(13) end(13) wonder(2) 

DOC 44
TOPIC    COUNT    PROB
----------------------
    0        4   0.631
   14        1   0.169

many(14) miles(0) fallen(0) aloud(0) getting(0) 

DOC 45
TOPIC    COUNT    PROB
----------------------
   13        3   0.564
    2        1   0.200

somewhere(13) near(13) earth(2) four(13) 

DOC 46
TOPIC    COUNT    PROB
----------------------
    0        1   0.314
    2        1   0.314

miles(0) several(2) 

DOC 47
TOPIC    COUNT    PROB
----------------------
    0        1   0.244
    9        1   0.244
   14        1   0.244

sort(0) lessons(14) though(9) 

DOC 48
TOPIC    COUNT    PROB
----------------------
    5        1   0.314
    7        1   0.314

opportunity(7) knowledge(5) 

DOC 49
TOPIC    COUNT    PROB
----------------------
   12        1   0.314
   13        1   0.314

listen(12) still(13) 

DOC 50
TOPIC    COUNT    PROB
----------------------
    2        1   0.314
    4        1   0.314

distance(4) wonder(2) 

DOC 51
TOPIC    COUNT    PROB
----------------------
   12        1   0.440

idea(12) 

DOC 52
TOPIC    COUNT    PROB
----------------------
    5        3   0.564
    2        1   0.200

either(5) nice(2) grand(5) words(5) 

DOC 53
TOPIC    COUNT    PROB
----------------------
   13        2   0.467
    0        1   0.244

wonder(0) fall(13) through(13) 

DOC 54
TOPIC    COUNT    PROB
----------------------
    9        3   0.413
   12        2   0.280
    2        1   0.147

earth(2) funny(9) seem(9) among(12) people(9) walk(12) 

DOC 55
TOPIC    COUNT    PROB
----------------------
    8        2   0.467
    3        1   0.244

heads(8) rather(8) glad(3) 

DOC 56
TOPIC    COUNT    PROB
----------------------
   14        2   0.467
    2        1   0.244

listening(14) didn(2) sound(14) 

DOC 57
TOPIC    COUNT    PROB
----------------------
    2        2   0.467
    5        1   0.244

word(5) ask(2) name(2) 

DOC 58
TOPIC    COUNT    PROB
----------------------
    1        4   0.745

please(1) ma(1) am(1) new(1) 

DOC 59
TOPIC    COUNT    PROB
----------------------
   10        3   0.689

tried(10) spoke(10) fancy(10) 

DOC 60
TOPIC    COUNT    PROB
----------------------
   13        2   0.467
    3        1   0.244

through(13) air(3) manage(13) 

DOC 61
TOPIC    COUNT    PROB
----------------------
    2        1   0.314
   12        1   0.314

girl(2) asking(12) 

DOC 62
TOPIC    COUNT    PROB
----------------------
    2        1   0.200
    9        1   0.200
   13        1   0.200
   14        1   0.200

ask(2) perhaps(14) written(9) somewhere(13) 

DOC 63
TOPIC    COUNT    PROB
----------------------
    7        2   0.600

else(7) soon(7) 

DOC 64
TOPIC    COUNT    PROB
----------------------
   12        2   0.382
    2        1   0.200
    8        1   0.200

talking(12) dinah(8) miss(12) night(2) 

DOC 65
TOPIC    COUNT    PROB
----------------------
    8        3   0.689

dinah(8) hope(8) remember(8) 

DOC 66
TOPIC    COUNT    PROB
----------------------
    8        2   0.467
    3        1   0.244

tea(3) dinah(8) wish(8) 

DOC 67
TOPIC    COUNT    PROB
----------------------
    7        2   0.323
    8        2   0.323
    4        1   0.169

mice(8) air(7) afraid(8) catch(7) bat(4) 

DOC 68
TOPIC    COUNT    PROB
----------------------
    2        4   0.745

cats(2) eat(2) bats(2) wonder(2) 

DOC 69
TOPIC    COUNT    PROB
----------------------
    8        3   0.689

rather(8) sleepy(8) saying(8) 

DOC 70
TOPIC    COUNT    PROB
----------------------
    2        8   0.853

sort(2) cats(2) eat(2) bats(2) cats(2) eat(2) bats(2) sometimes(2) 

DOC 71
TOPIC    COUNT    PROB
----------------------
    2        6   0.718
   10        1   0.129

