<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<State Department 's Office of Near Eastern Affairs, ORGANIZATION>
<Irish Army, ORGANIZATION>
<Harold Macmillan, PERSON>
<N.A.A.C.P., LOCATION>
<Israeli Knesset, LOCATION>
<Lodge, LOCATION>
<Yale-New Haven Hospital, LOCATION>
<Bridget Murphy, PERSON>
<UTC, ORGANIZATION>
<British, LOCATION>
<U.S. Navy, ORGANIZATION>
<Charles de Gaulle, PERSON>
<John F. Kennedy, PERSON>
<Carolyn Bessette, PERSON>
<Martha, PERSON>
<Hyannisport, LOCATION>
<Junior Grade, ORGANIZATION>
<Port Washington, LOCATION>
<Foynes, LOCATION>
<United Kingdom, LOCATION>
<Vivian Malone, PERSON>
<New Hampshire, LOCATION>
<Ukrainian, LOCATION>
<Kennedys, PERSON>
<Gallup, LOCATION>
<Southern Democratic, ORGANIZATION>
<Mayo Clinic, PERSON>
<Freedom Riders, ORGANIZATION>
<J. Edgar Hoover, PERSON>
<Rodger P. Davies, PERSON>
<American Defense Service Medal, ORGANIZATION>
<Northern, ORGANIZATION>
<Abdel Karim Kassem, PERSON>
<Turkey, LOCATION>
<Peace Corps, ORGANIZATION>
<Warren Commission, ORGANIZATION>
<Puerto Rico, LOCATION>
<Mike Forrestal, PERSON>
<Coretta Scott King, PERSON>
<Lee Harvey Oswald, PERSON>
<US, LOCATION>
<Rose Fitzgerald, PERSON>
<New York City, LOCATION>
<Harris Wofford, PERSON>
<Dominican Republic, LOCATION>
<Henry Cabot Lodge, PERSON>
<Abraham Lincoln, PERSON>
<Southern Christian Leadership Conference, ORGANIZATION>
<Harold Hughes, PERSON>
<Harvard College, ORGANIZATION>
<Riverdale, LOCATION>
<West Virginia, LOCATION>
<Alabama, LOCATION>
<Middle East, LOCATION>
<Don Yarborough, PERSON>
<Adenauer, PERSON>
<Daniel Davis, PERSON>
<Abe Feinberg, PERSON>
<Earl Warren, PERSON>
<God, PERSON>
<Saddam Hussein, PERSON>
<Europe, LOCATION>
<Arthur M. Schlesinger, PERSON>
<Bronxville, LOCATION>
<United Nations, ORGANIZATION>
<Court of St. James 's, ORGANIZATION>
<Vincent J. Celeste, PERSON>
<University of Alabama, ORGANIZATION>
<Yale, ORGANIZATION>
<African Americans, LOCATION>
<Richard Reeves, PERSON>
<IAEA, ORGANIZATION>
<Choate, PERSON>
<Catholic, ORGANIZATION>
<SS Athenia, LOCATION>
<McNamara Taylor, PERSON>
<Judith Campbell, PERSON>
<Alliance for Progress, ORGANIZATION>
<Joseph McCarthy, PERSON>
<Mother Teresa, PERSON>
<Ngo Dinh Nhu, PERSON>
<Oswald, LOCATION>
<Addison, PERSON>
<Purple Heart, LOCATION>
<V.P. Johnson, PERSON>
<Laos, LOCATION>
<Beals Street, ORGANIZATION>
<Jupiter, LOCATION>
<Brother Robert, PERSON>
<Naval Reserve Officer Training Corps and Motor Torpedo Boat Squadron Training Center, ORGANIZATION>
<House of Commons, ORGANIZATION>
<Arizona, LOCATION>
<Appalachia, LOCATION>
<Richard Nixon, PERSON>
<Robert F. Kennedy, PERSON>
<Pacem, LOCATION>
<Ba'ath Party, ORGANIZATION>
<Patricia Kennedy, PERSON>
<House Select Committee on Assassinations, ORGANIZATION>
<US Navy Polaris, ORGANIZATION>
<Salamanca, LOCATION>
<Liberation, ORGANIZATION>
<Sergei Khrushchev, PERSON>
<Rice University, ORGANIZATION>
<Asiatic-Pacific Campaign Medal, ORGANIZATION>
<Czechoslovakia, LOCATION>
<Greater Houston Ministerial Association, ORGANIZATION>
<Democratic Party, ORGANIZATION>
<N.A.A.C.P., ORGANIZATION>
<Jimmie Henderson, PERSON>
<Cambodia, LOCATION>
<National Security Action Memorandum, ORGANIZATION>
<Karen Demirchyan, PERSON>
<Irina Mihailovna Virganskaya, PERSON>
<Najibullah, PERSON>
<Helmut Kohl, PERSON>
<Pierre Trudeau, PERSON>
<Vilnius, LOCATION>
<Rome, LOCATION>
<NATO, ORGANIZATION>
<Dinmukhamed Kunayev, PERSON>
<West Berlin, LOCATION>
<Baltic, LOCATION>
<XXVIIth Party Congress, ORGANIZATION>
<Alexander Yakovlev, PERSON>
<Afghanistan, LOCATION>
<Hayk Kotanjian, PERSON>
<Department of Party Organs, ORGANIZATION>
<Communist Party of the Soviet Union, ORGANIZATION>
<Ukraine, LOCATION>
<Independent Democratic Party, ORGANIZATION>
<Baltic republics, ORGANIZATION>
<Party Conference, ORGANIZATION>
<Belovezh Forest, LOCATION>
<Turkmenistan, LOCATION>
<Standing Commission on Youth Affairs, ORGANIZATION>
<Grigory Romanov, PERSON>
<George H. W. Bush, PERSON>
<Jeltoqsan, PERSON>
<Gorky, LOCATION>
<Nikita Khrushchev, PERSON>
<Belarus, LOCATION>
<Iceland, LOCATION>
<Alexander Dubcek, PERSON>
<Russian SFSR, LOCATION>
<St Francis, PERSON>
<Raisa Gorbacheva, PERSON>
<Gennady Zyuganov, PERSON>
<New Orleans, LOCATION>
<Union of Social-Democrats, ORGANIZATION>
<Elizabeth Hurley, PERSON>
<Kazakhstan, LOCATION>
<Armenian Communist Party, ORGANIZATION>
<Mongolia, LOCATION>
<John Major, PERSON>
<Moscow State University, ORGANIZATION>
<Lech Walesa, PERSON>
<Alma Ata, PERSON>
<Estonia, LOCATION>
<Berlin Wall, LOCATION>
<Yegor Ligachev, PERSON>
<Katrina, PERSON>
<Romania, LOCATION>
<Georgian, LOCATION>
<Novaya Gazeta, ORGANIZATION>
<Hrazdan Regional Communist Party, ORGANIZATION>
<Anastasia, PERSON>
<Moscow, LOCATION>
<Joe Biden, PERSON>
<Caucasus, LOCATION>
<Valentin Varennikov, PERSON>
<Geneva, LOCATION>
<Akhromeyev, PERSON>
<Kremlin, LOCATION>
<Stavropol Agricultural Kraikom, ORGANIZATION>
<San Francisco, LOCATION>
<Alan Rickman, PERSON>
<Eureka College, ORGANIZATION>
<Vladimir Lenin, PERSON>
<DemoRossiya, ORGANIZATION>
<Otto Hahn Peace Medal, ORGANIZATION>
<Christus, PERSON>
<Mujahedin, ORGANIZATION>
<Communist Party of Lithuania, ORGANIZATION>
<Vytautas Landsbergis, PERSON>
<Angela Merkel, PERSON>
<Architect of Perestroika, ORGANIZATION>
<Warsaw, LOCATION>
<Senate, ORGANIZATION>
<Central Committee 's Secretariat for Agriculture, ORGANIZATION>
<Yazov, PERSON>
<USSR, ORGANIZATION>
<NKAO, ORGANIZATION>
<Foreign Ministry, ORGANIZATION>
<Aeroflot, ORGANIZATION>
<Sovetskaya Rossiya, LOCATION>
<Lithuania, LOCATION>
<Top Secret Unit, ORGANIZATION>
<Crimea, LOCATION>
<Pavlov, PERSON>
<Interior, ORGANIZATION>
<Lithuanian Supreme Council, ORGANIZATION>
<Wings of Desire, ORGANIZATION>
<Mr. Gorbachev, PERSON>
<East Germany, LOCATION>
<American, LOCATION>
<Robert D. English, PERSON>
<Ecumenical Patriarchate, ORGANIZATION>
<Leningrad, LOCATION>
<Viktor Achalov, PERSON>
<Presidential Council of, ORGANIZATION>
<Jack F. Matlock Jr., PERSON>
<Strasbourg, LOCATION>
<Archie Brown, PERSON>
<Gorbachev Foundation, ORGANIZATION>
<Madrid, LOCATION>
<Alexei II, PERSON>
<Brezhnev Doctrine, LOCATION>
<INF, ORGANIZATION>
<Communist Party First, ORGANIZATION>
<Belgium, LOCATION>
<Russian-Ukrainian, LOCATION>
<Malaysia, LOCATION>
<Barack Obama, LOCATION>
<East Berlin, LOCATION>
<Mikhail Sergeyevich Gorbachev, PERSON>
<Konstantin Chernenko, PERSON>
<Russian Soviet Federative Socialist Republic, LOCATION>
<Social Democratic Party, ORGANIZATION>
<Brazil, LOCATION>
<Wim Wenders, PERSON>
<Alexander Lebedev, PERSON>
<CPSU Congress, ORGANIZATION>
<Pizza Hut, LOCATION>
<Nagorno-Karabakh, LOCATION>
<Eastern Europe, LOCATION>
<Gennadi Gerasimov, PERSON>
<Russian Orthodox Church, LOCATION>
<United States, LOCATION>
<Raisa Titarenko, PERSON>
<Assisi, LOCATION>
<Poland, LOCATION>
<Jose Carreras, PERSON>
<State Emergency Committee, ORGANIZATION>
<China, LOCATION>
<NKVD, ORGANIZATION>
<Moldova, LOCATION>
<Pope John Paul II, PERSON>
<Höfði, LOCATION>
<Cooperatives, ORGANIZATION>
<Stavropol Kraikom, LOCATION>
<Margaret Thatcher, PERSON>
<Azerbaijan, LOCATION>
<Illinois, LOCATION>
<Strategic Defense Initiative, ORGANIZATION>
<Canada, LOCATION>
<Warsaw Pact, ORGANIZATION>
<Ukrainian-Russian, LOCATION>
<republican, ORGANIZATION>
<Eduard Shevardnadze, PERSON>
<Eastern Bloc, ORGANIZATION>
<Fergana, LOCATION>
<Yuri Andropov, PERSON>
<Earth Charter, LOCATION>
<Council of the Federation, ORGANIZATION>
<Supreme Court of the Russian Federation, ORGANIZATION>
<International Monetary Fund, ORGANIZATION>
<London, LOCATION>
<February Central Committee Plenum, ORGANIZATION>
<Fyodor Kulakov, PERSON>
<D. Blacker, PERSON>
<Ronald Reagan, PERSON>
<Boris Yeltsin, PERSON>
<Andrei Gromyko, PERSON>
<Shakhnazarov, PERSON>
<Yugoslavia, LOCATION>
<Green Cross International, ORGANIZATION>
<Congress of People 's Deputies, ORGANIZATION>
<Communist Party Central Committee, ORGANIZATION>
<Dmitri Medvedev, PERSON>
<West Germany, LOCATION>
<Tajikistan, LOCATION>
<British, LOCATION>
<Latvia, LOCATION>
<U.S., LOCATION>
<Foreign Affairs, ORGANIZATION>
<Washington, LOCATION>
<Pamyat, ORGANIZATION>
<United Kingdom, LOCATION>
<German Democratic Republic, LOCATION>
<Louis Vuitton, PERSON>
<Leonid Brezhnev, PERSON>
<Mikhail Suslov, PERSON>
<Cuba, LOCATION>
<Tbilisi, LOCATION>
<Mikheil Saakashvili, PERSON>
<Bono, PERSON>
<St. Petersburg, LOCATION>
<Nina Andreyeva, PERSON>
<France, LOCATION>
<Nikolai Ryzhkov, PERSON>
<Albert Hall, PERSON>
<Soviet Union, LOCATION>
<Gerhard Schroeder, PERSON>
<U.N. Security Council, ORGANIZATION>
<Interfax, ORGANIZATION>
<KGB Alpha Group, ORGANIZATION>
<Eureka, LOCATION>
<Nazi-Soviet Pact, ORGANIZATION>
<Leninakan Earthquake, ORGANIZATION>
<Commonwealth of Independent States, ORGANIZATION>
<St. Andrew Archons, ORGANIZATION>
<Kyrgyzstan, LOCATION>
<Joseph Stalin, PERSON>
<Armenia, LOCATION>
<Kryuchkov, PERSON>
<Staraya Ploschad, LOCATION>
<Stavropol Institute of Agriculture, ORGANIZATION>
<Reykjavík, LOCATION>
<Mikhail Sergeyevich Gorbachyov, PERSON>
<California, LOCATION>
<OMON, ORGANIZATION>
<Pugo, PERSON>
<Western Europe, LOCATION>
<Iraq, LOCATION>
<Constantinople, LOCATION>
<Brest, LOCATION>
<Britain, LOCATION>
<Hugh Grant, PERSON>
<Riga, LOCATION>
<Commons, ORGANIZATION>
<united party, ORGANIZATION>
<Andrei Makarevich, PERSON>
<Andrei Sakharov, PERSON>
<Uzbekistan, LOCATION>
<Italy, LOCATION>
<South Ossetia, LOCATION>
<Peoria, LOCATION>
<Barack Obama, PERSON>
<Lesley Stahl, PERSON>
<The University of Iowa, ORGANIZATION>
<Soviet Union, LOCATION>
<Reagan Doctrine, PERSON>
<Margaret Thatcher, PERSON>
<Time magazine, ORGANIZATION>
<Japan, LOCATION>
<Charles Craver, PERSON>
<United Kingdom, ORGANIZATION>
<Nancy Reagan, PERSON>
<Foreign Ministry, ORGANIZATION>
<Davenport, LOCATION>
<Barry Goldwater, PERSON>
<Fort MacArthur, LOCATION>
<Washington National Airport, LOCATION>
<Larry King, PERSON>
<Daniel Ortega, PERSON>
<Harry Truman, PERSON>
<Herbert Hoover, PERSON>
<World Court, ORGANIZATION>
<William Rehnquist, PERSON>
<Al Angrisani, PERSON>
<INF Treaty, ORGANIZATION>
<Democratic Party, ORGANIZATION>
<Congressional Gold Medal, ORGANIZATION>
<Douglas Ginsburg, PERSON>
<KAL 007, ORGANIZATION>
<Earth, LOCATION>
<Florida, LOCATION>
<Taft Hartley, PERSON>
<Michael, PERSON>
<Warner Bros., ORGANIZATION>
<Arnold Schwarzenegger, PERSON>
<Warren Burger, PERSON>
<Assistant Secretary of Labor, ORGANIZATION>
<Mark Weisbrot, PERSON>
<Screen Actor 's Guild, ORGANIZATION>
<New Deal, LOCATION>
<San Francisco, LOCATION>
<Strategic Arms Reduction Treaty, ORGANIZATION>
<Rasmussen, PERSON>
<Navy, ORGANIZATION>
<British Parliament, ORGANIZATION>
<Ted Kennedy, PERSON>
<Hamid Karzai, PERSON>
<Brent Scowcroft, PERSON>
<Tampico, LOCATION>
<Democratic California, ORGANIZATION>
<Senate, ORGANIZATION>
<Treasury Department, ORGANIZATION>
<All American, LOCATION>
<Jerry Brown, PERSON>
<Reagan Administration, ORGANIZATION>
<Mikhail Gorbachev, PERSON>
<Paul Volcker, PERSON>
<John Adams, PERSON>
<FBI, ORGANIZATION>
<District of Columbia, LOCATION>
<Board of Directors of the Screen Actors Guild, ORGANIZATION>
<Hilton Washington, LOCATION>
<Nelle Wilson Reagan, PERSON>
<Provisional Task Force, ORGANIZATION>
<William Holden, PERSON>
<Mommy, PERSON>
<Jane Wyman, PERSON>
<Dixon, PERSON>
<Bitburg, LOCATION>
<St. George, LOCATION>
<Berkeley, LOCATION>
<Supreme Court Justice, ORGANIZATION>
<Hawkeyes, ORGANIZATION>
<The Pen & Quill, ORGANIZATION>
<Culver City, LOCATION>
<Republican Party, ORGANIZATION>
<Edmund G., PERSON>
<Antonin Scalia, PERSON>
<Lyndon B. Johnson, PERSON>
<Jesse Unruh, PERSON>
<John McCain, PERSON>
<Capitol Rotunda, LOCATION>
<WHO, ORGANIZATION>
<Switzerland, LOCATION>
<Army Enlisted Reserve, ORGANIZATION>
<Federal Reserve, ORGANIZATION>
<Eastern Europe, LOCATION>
<Afghanistan, LOCATION>
<Gates Funeral Home, ORGANIZATION>
<Arnold Resnicoff, PERSON>
<Iran, LOCATION>
<Barack Obama, PERSON>
<Presidential Medal of Freedom, ORGANIZATION>
<Christine, PERSON>
<CBS White House, ORGANIZATION>
<Paul Kengor, PERSON>
<Ronnie, PERSON>
<George Runner, PERSON>
<Canada, LOCATION>
<John B. Anderson, PERSON>
<Strategic Defense Initiative, ORGANIZATION>
<The Times, ORGANIZATION>
<Jack Dempsey, PERSON>
<Richard Nixon, PERSON>
<Thomas Starr King, PERSON>
<Strategic Arms Limitation Talks to Strategic Arms Reduction Talks, ORGANIZATION>
<Monmouth, LOCATION>
<Washington National Cathedral, ORGANIZATION>
<The Washington Post, ORGANIZATION>
<M. J. Heale, PERSON>
<The Heritage Foundation, ORGANIZATION>
<Ghazi al-Yawer, PERSON>
<Dwight D. Eisenhower, PERSON>
<Libyan, LOCATION>
<Beirut, LOCATION>
<University of California, ORGANIZATION>
<California Highway Patrol, ORGANIZATION>
<British, LOCATION>
<John Tower, PERSON>
<Alan Greenspan, PERSON>
<1st Motion Picture Unit, ORGANIZATION>
<Silvio Berlusconi, PERSON>
<Transportation Office, ORGANIZATION>
<Gray Davis, PERSON>
<Red Army, ORGANIZATION>
<General Electric Theater, ORGANIZATION>
<Army Air Force, ORGANIZATION>
<Dr. Lawrence K. Altman, PERSON>
<Edwin Feulner, PERSON>
<Ronald Wilson Reagan, PERSON>
<Nelson Rockefeller, ORGANIZATION>
<Sidra, LOCATION>
<Pope John Paul II, PERSON>
<UACC, ORGANIZATION>
<Reagans, ORGANIZATION>
<Texas, LOCATION>
<Oxford, LOCATION>
<Joseph Giordano, PERSON>
<American Conservative Union, ORGANIZATION>
<Baalbek, LOCATION>
<Hezbollah, ORGANIZATION>
<Dr. John E. Hutton, PERSON>
<USA, ORGANIZATION>
<Turkey, LOCATION>
<John Edward, PERSON>
<Reykjavík, LOCATION>
<Alzheimer, ORGANIZATION>
<Saudi Arabia, LOCATION>
<California Museum, LOCATION>
<Santa Barbara, LOCATION>
<Gennadi Gerasimov, PERSON>
<Burbank, LOCATION>
<Kingsley, PERSON>
<Yuri Andropov, PERSON>
<Mrs. Reagan, PERSON>
<USSR, ORGANIZATION>
<Eastern Caribbean States, LOCATION>
<Fan Club, LOCATION>
<Mourning, LOCATION>
<Pakistan, LOCATION>
<Lech Kaczynski, PERSON>
<George Washington University Law School, ORGANIZATION>
<Dallas, LOCATION>
<Fellow of Keble College, ORGANIZATION>
<Vanity Fair, ORGANIZATION>
<Loan, LOCATION>
<Nicaragua, LOCATION>
<Universal Autograph Collectors Club, ORGANIZATION>
<TEFRA, LOCATION>
<Patricia Schroeder, PERSON>
<House Un-American Activities Committee, ORGANIZATION>
<Knute Rockne, PERSON>
<Dixon, LOCATION>
<National Guard, ORGANIZATION>
<Sandra Day O'Connor, PERSON>
<Yasuhiro Nakasone, PERSON>
<CNN, ORGANIZATION>
<International Trade Center, ORGANIZATION>
<Gerald Ford, PERSON>
<Lebanon, LOCATION>
<Bel Air Presbyterian Church, ORGANIZATION>
<H.C. Pitney Variety Store, ORGANIZATION>
<Kings Row, ORGANIZATION>
<Peggy Noonan, PERSON>
<Minnesota, LOCATION>
<CIA, ORGANIZATION>
<Tennessee, LOCATION>
<Cattle Queen of Montana, ORGANIZATION>
<Reagans, LOCATION>
<Geneva, LOCATION>
<Siena College, ORGANIZATION>
<NATO, ORGANIZATION>
<Iceland, LOCATION>
<Jimmy Carter, PERSON>
<Gerhard Schröder, PERSON>
<Moneron Island, LOCATION>
<Des Moines, LOCATION>
<Director of Communications, ORGANIZATION>
<Grenada, LOCATION>
<Chuck Raasch, PERSON>
<United States Postal Service, ORGANIZATION>
<Said Brian Mulroney, PERSON>
<Mexico, LOCATION>
<Symbionese Liberation Army, ORGANIZATION>
<Statue of Liberty, ORGANIZATION>
<WOC, ORGANIZATION>
<Iraq, LOCATION>
<GCB, ORGANIZATION>
<National Statuary Hall Collection, ORGANIZATION>
<Moscow, LOCATION>
<SAG, ORGANIZATION>
<Korean Air Lines, ORGANIZATION>
<George H. W. Bush, PERSON>
<Warner Brothers studios, ORGANIZATION>
<People v. Anderson, ORGANIZATION>
<New Hampshire, LOCATION>
<Cubs, LOCATION>
<Alpha Kappa Psi, ORGANIZATION>
<AAF Public Relations, ORGANIZATION>
<Neil, PERSON>
<Fort Mason, LOCATION>
<Santa Monica, LOCATION>
<D.C., LOCATION>
<United States Capitol, LOCATION>
<Bethesda Naval Hospital, LOCATION>
<Patti, PERSON>
<Ronald Reagan Jr., PERSON>
<Anthony Kennedy, PERSON>
<Ford, ORGANIZATION>
<David Gergen, PERSON>
<George H.W. Bush, PERSON>
<Anthony Beilenson, PERSON>
<God, PERSON>
<Chicago Cubs, ORGANIZATION>
<United States Military Academy, ORGANIZATION>
<San Quentin, LOCATION>
<Chasen 's, ORGANIZATION>
<Iowa, LOCATION>
<San Francisco Port of Embarkation, ORGANIZATION>
<Russia, LOCATION>
<Wyoming, LOCATION>
<American Medical Association, ORGANIZATION>
<Berlin Wall, LOCATION>
<Larry McDonald, PERSON>
<Lech Walesa, PERSON>
<Los Angeles, LOCATION>
<Galesburg, LOCATION>
<UC Berkeley, ORGANIZATION>
<Pennsylvania, LOCATION>
<Robert A. Mundell, PERSON>
<ABC, ORGANIZATION>
<Century City, LOCATION>
<Center for Economic and Policy Research, ORGANIZATION>
<Eureka College, LOCATION>
<Pat Buchanan, PERSON>
<Latin America, LOCATION>
<Glendale, LOCATION>
<Ronald Reagan Presidential Foundation, ORGANIZATION>
<Republican Senatorial Medal of Freedom, ORGANIZATION>
<Tony Blair, PERSON>
<Edmund Muskie, PERSON>
<Abdullah, PERSON>
<Poland, LOCATION>
<Rock River, LOCATION>
<Africa, LOCATION>
<US, LOCATION>
<North Carolina, LOCATION>
<Little Brown Church, ORGANIZATION>
<Asia, LOCATION>
<Clinton, PERSON>
<Steve Koschal, PERSON>
<SDI, ORGANIZATION>
<Lowell Park, LOCATION>
<International Court of Justice, ORGANIZATION>
<TEFRA, ORGANIZATION>
<Walter Mondale, PERSON>
<Jeffery W. Knopf, PERSON>
<Eureka College, ORGANIZATION>
<Richard Schweiker, PERSON>
<Robert Bork, PERSON>
<Marines, ORGANIZATION>
<Franklin D. Roosevelt, PERSON>
<GE, ORGANIZATION>
<Hollywood, ORGANIZATION>
<Robert Solow, PERSON>
<Reagan Diaries, ORGANIZATION>
<Hollywood, LOCATION>
<Bosley Crowther, PERSON>
<George Washington University Hospital, LOCATION>
<Social Security, ORGANIZATION>
<James Baker, PERSON>
<Jerry Falwell, PERSON>
<Star Wars, ORGANIZATION>
<United States Courts of Appeals, ORGANIZATION>
<Laffer, LOCATION>
<Aaron Mitchell, PERSON>
<John Loves Mary, PERSON>
<Ronald Reagan Freedom Award, ORGANIZATION>
<Mr. Gorbachev, PERSON>
<U.S. Army, ORGANIZATION>
<Illinois, LOCATION>
<United Kingdom, LOCATION>
<San Fernando Valley, LOCATION>
<Muammar Gaddafi, PERSON>
<White Eagle, ORGANIZATION>
<Potter Stewart, PERSON>
<EPA, ORGANIZATION>
<Milton Friedman, PERSON>
<Ronald Reagan Boyhood Home National, ORGANIZATION>
<Arthur Laffer, PERSON>
<Sandinistan, PERSON>
<Maureen, PERSON>
<Gipp, PERSON>
<National Association of Evangelicals, ORGANIZATION>
<Helmut Kohl, PERSON>
<United States Navy, LOCATION>
<Lemuel Boulware, PERSON>
<Bonzo, PERSON>
<John Sears, PERSON>
<Howard Kurtz, PERSON>
<Chicago, LOCATION>
<Mr. President, PERSON>
<East-European, LOCATION>
<Patty Hearst, ORGANIZATION>
<Israel, LOCATION>
<Nancy Davis, PERSON>
<Santa Fe Trail, ORGANIZATION>
<West Germany, LOCATION>
<New York Times, ORGANIZATION>
<John Hinckley, PERSON>
<James Brady, PERSON>
<Massachusetts, LOCATION>
<Nazi, ORGANIZATION>
<New York City, LOCATION>
<Dr. Daniel Ruge, PERSON>
<Officers Reserve Corps of the Cavalry, ORGANIZATION>
<Supreme Court of California, ORGANIZATION>
<U.S.S.R., LOCATION>
