<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<USSR Defense Council, ORGANIZATION>
<Western Ukraine, LOCATION>
<Richard Nixon, PERSON>
<Eastern Europe, LOCATION>
<American University, ORGANIZATION>
<Belarus, LOCATION>
<Lipki, LOCATION>
<Karachays, PERSON>
<Communist Party of the Soviet Union 's Central Committee, ORGANIZATION>
<Baptists, LOCATION>
<Robert Conquest, PERSON>
<Molotov, LOCATION>
<Mozhaysky, PERSON>
<Greece, LOCATION>
<OGPU, ORGANIZATION>
<Kurapaty, PERSON>
<Black Sea, LOCATION>
<Kalmyks, PERSON>
<Sofia, LOCATION>
<Chiang, ORGANIZATION>
<China, LOCATION>
<Novokuznetsk, LOCATION>
<Bulgaria, LOCATION>
<Nicholas II, ORGANIZATION>
<Yevgeny Dzhugashvili, PERSON>
<Korean peninsula, LOCATION>
<Bai Chongxi, PERSON>
<Zuvalova, LOCATION>
<Valdai Hills, LOCATION>
<Yuri Davydov, PERSON>
<WWII, ORGANIZATION>
<Novaya Gazeta, ORGANIZATION>
<Japan, LOCATION>
<German Army Group Centre, ORGANIZATION>
<Eastern Front, ORGANIZATION>
<Soviet Union, LOCATION>
<Russian Orthodox Church Outside Russia, LOCATION>
<Generalissimo, PERSON>
<Warsaw, LOCATION>
<North Korean Army, ORGANIZATION>
<Petrograd, LOCATION>
<Paris Conference, ORGANIZATION>
<Khorloogiin Choibalsan, PERSON>
<Eastern Bloc, ORGANIZATION>
<NTV, ORGANIZATION>
<Semyonovskaya, PERSON>
<Nazis, ORGANIZATION>
<Buddhism, LOCATION>
<France, LOCATION>
<Anthony Eden, PERSON>
<Catalonia, LOCATION>
<Koreans, LOCATION>
<Great Britain, LOCATION>
<Cabinet, ORGANIZATION>
<Mikhail Kalinin, PERSON>
<Miron Vovsi, PERSON>
<Yakov, PERSON>
<Alec Nove, PERSON>
<Russian Orthodox Church Synod, ORGANIZATION>
<Joachim von Ribbentrop, PERSON>
<U.S.-allied South Korea, LOCATION>
<Lake Mitsa, ORGANIZATION>
<Sovnarkom Vyacheslav Molotov, PERSON>
<Metropolitan Nikolay, ORGANIZATION>
<Chinese, LOCATION>
<American, LOCATION>
<Versailles, LOCATION>
<Red Army, ORGANIZATION>
<Mátyás Rákosi, PERSON>
<Yablochkov, PERSON>
<Rykov, PERSON>
<Wladislav Rieger, PERSON>
<Stalingrad Tsaritsyn, LOCATION>
<Manchuria, LOCATION>
<Czechoslovakia, LOCATION>
<Mikheil Gelovani, PERSON>
<Gulag, ORGANIZATION>
<Communists, ORGANIZATION>
<Belorussia, LOCATION>
<Vladimir Lenin, PERSON>
<Axis Powers Germany, ORGANIZATION>
<Holodomor, ORGANIZATION>
<Sachsenhausen, LOCATION>
<Alexander Shlyapnikov, PERSON>
<Sochi, LOCATION>
<Chiang Kai-shek, PERSON>
<Lavrenty Beria, PERSON>
<Siberian, LOCATION>
<Bolsheviks, ORGANIZATION>
<Semyon Budyonny, PERSON>
<Nazi Germany, LOCATION>
<Russian Federation, LOCATION>
<Friedrich Paulus, PERSON>
<Communist Party of the Russian Federation, ORGANIZATION>
<POUM, ORGANIZATION>
<Pharaoh, PERSON>
<Sino-Soviet Treaty of Friendship and Alliance, ORGANIZATION>
<Ukrainian, LOCATION>
<Mao Zedong, PERSON>
<KMT, ORGANIZATION>
<North Korea, LOCATION>
<Stakhanovites, PERSON>
<Harry S. Truman, PERSON>
<Rudolf Klement, PERSON>
<Taiwan, LOCATION>
<Sukhumi, LOCATION>
<Karelia, LOCATION>
<Petersburg, PERSON>
<Stalin Peace Prize, ORGANIZATION>
<Smolny Institute, ORGANIZATION>
<Wehrmacht, ORGANIZATION>
<Lev Shubnikov, PERSON>
<Kuntsevo, LOCATION>
<Estonia, LOCATION>
<Tehran, LOCATION>
<Kremlin, LOCATION>
<KGB, ORGANIZATION>
<Robert Conquest, ORGANIZATION>
<Chinese Nationalist Party, ORGANIZATION>
<Edvard Radzinsky, PERSON>
<Miron Merzhanov, PERSON>
<Winston Churchill, PERSON>
<Gagri, LOCATION>
<Bessarabia, LOCATION>
<Pyotr Stolypin, PERSON>
<Nikolai Bulganin, PERSON>
<Bolshevik Central Committee, ORGANIZATION>
<Ribbentrop Pact, ORGANIZATION>
<Joseph Vissarionovich Stalin, PERSON>
<Hungary, LOCATION>
<Peter Lozgachev, PERSON>
<Munich, LOCATION>
<Solomon Mikhoels, PERSON>
<Potsdam, LOCATION>
<Hitler, PERSON>
<Marshal Stalin, PERSON>
<Lev Kamenev, PERSON>
<Vasili Blokhin, PERSON>
<Stalin Prize, LOCATION>
<Soviet Ukraine, LOCATION>
<Popov, PERSON>
<Eva Braun, PERSON>
<Golda Meir, PERSON>
<Georgian, LOCATION>
<Vadim Erlikman, PERSON>
<Lev Gumilev, PERSON>
<Kim Il Sung, PERSON>
<Alexander III, PERSON>
<Kim Il-sung, PERSON>
<The People 's Republic, ORGANIZATION>
<Isaac Babel, PERSON>
<Josef Vissarionovich Stalin, PERSON>
<Lev Landau, PERSON>
<Uniats, ORGANIZATION>
<Andreu, PERSON>
<Yalta, LOCATION>
<Sergei Eisenstein, PERSON>
<NKVD, ORGANIZATION>
<Rosa Kaganovich, PERSON>
<Chinese Communist Party, ORGANIZATION>
<Baltic States, LOCATION>
<Muslim, ORGANIZATION>
<Lviv, LOCATION>
<Mongolian, LOCATION>
<British, LOCATION>
<Osip Mandelstam, ORGANIZATION>
<Budapest, LOCATION>
<United Nations, ORGANIZATION>
<boyars Ivan, PERSON>
<Nikolai Yezhov, PERSON>
<Moldavian Soviet Socialist Republic, LOCATION>
<Bykivnia, LOCATION>
<Muslims, PERSON>
<Gori, LOCATION>
<Novy Alon, ORGANIZATION>
<Indian, LOCATION>
<Leon Trotsky, PERSON>
<Ilya, PERSON>
<Poland, LOCATION>
<Komsomol, ORGANIZATION>
<Leningrad, LOCATION>
<USSR, ORGANIZATION>
<Central Europe, LOCATION>
<Caucasus, LOCATION>
<Albania, LOCATION>
<Alexander Kerensky, PERSON>
<Time Magazine, ORGANIZATION>
<Abkhazia, LOCATION>
<Dmitry Medvedev, PERSON>
<Vsevolod Meyerhold, PERSON>
<Alexander Kutepov, PERSON>
<Sergius, PERSON>
<Mexico, LOCATION>
<Anna Akhmatova, PERSON>
<Robert Lewis, PERSON>
<Halvdan Koht, PERSON>
<Khruschev, PERSON>
<Finland, LOCATION>
<People 's Commissar for Nationalities ' Affairs, ORGANIZATION>
<Wladyslaw Sikorski, PERSON>
<Western Russia, LOCATION>
<Lavrentiy Beria, PERSON>
<Tatarstan, ORGANIZATION>
<Ignace Poretsky, PERSON>
<Lenin, ORGANIZATION>
<Nicolas Werth, PERSON>
<Nikita Kruschev, PERSON>
<Franklin D. Roosevelt, PERSON>
<Western Allies, ORGANIZATION>
<Soviet Georgia, LOCATION>
<Kuntsevo, PERSON>
<White Army, ORGANIZATION>
<Evgeny Miller, PERSON>
<Romanians, LOCATION>
<Communist International, ORGANIZATION>
<Mieczyslaw Weinberg, PERSON>
<Central Asian, LOCATION>
<Shanghai, LOCATION>
<Nikolai Gumilev, PERSON>
<CPSU Central Committee, ORGANIZATION>
<West Berlin, LOCATION>
<Soviet Archives, LOCATION>
<Judaism, LOCATION>
<Grutas Park, LOCATION>
<Molotov-Ribbentrop Pact, ORGANIZATION>
<Yevhen Konovalets, PERSON>
<Kimon Georgiev, PERSON>
<Georgy Malenkov, PERSON>
<Vasiliy, ORGANIZATION>
<Chiang Kai-Shek, PERSON>
<Eastern Germany, LOCATION>
<Korenizatsiya, LOCATION>
<Western Europe, LOCATION>
<TASS, ORGANIZATION>
<Yugoslavia, LOCATION>
<Alan Bullock, PERSON>
<Socialist Unity Party, ORGANIZATION>
<Blizhny, ORGANIZATION>
<New Economic Policy, ORGANIZATION>
<Alexy, PERSON>
<Nikita Khrushchev, PERSON>
<Gorki, LOCATION>
<Italy, LOCATION>
<Vilnius, LOCATION>
<Israel Stalin, LOCATION>
<Pravda, LOCATION>
<Bukovina, LOCATION>
<Sergei Kirov, PERSON>
<Nehru, PERSON>
<Michael Ellman, PERSON>
<Twelfth Party Congress, ORGANIZATION>
<Nadezhda Alliluyeva, PERSON>
<Chechnya, LOCATION>
<Aleksei Dikiy, PERSON>
<Moscow, LOCATION>
<Lodygin, PERSON>
<Robert Gellately, PERSON>
<Marshall, PERSON>
<Vasiliy, PERSON>
<communist party, ORGANIZATION>
<Lavrenty Beria, LOCATION>
<New Year Party, ORGANIZATION>
<Zelyony Myss, LOCATION>
<Time Person, ORGANIZATION>
<Svetlana, PERSON>
<United States, LOCATION>
<Roman Catholic Church, ORGANIZATION>
<Lithuanians, LOCATION>
<Alexander Nevsky, PERSON>
<Clement Attlee, PERSON>
<Cherepanovs, PERSON>
